model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,xgb_max_depth,xgb_min_child_weight,xgb_gamma,learning_rate,n_estimators,profit
XGBoost,TSLA,standard,False,81,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,82,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,83,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,84,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,85,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,86,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,87,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,88,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,89,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,90,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,91,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,92,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,93,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,94,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,95,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,96,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,97,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,98,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,99,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,100,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,MSFT,standard,False,1,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,2,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,3,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,4,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,5,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,6,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,7,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,8,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,9,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
